user,location,tweet,Date,Tweet Coordinates
oldschoolmonk1,Bangalore,"RT @7ru7h_1: Biden during his recent speech used term Asia-Pacific instead of Indo-Pacific for obvious Pro-China stand. 

Now, Trump has be…",2020-12-22 17:49:16,
InterAffairs1,,"@Geeta_Mohan @PMBhutan From the Kremlin!

Privet! Ni Hao ! #QUAD
🐻 And 🐼 🕺 together 

https://t.co/BopxPBMnWG",2020-12-22 17:49:08,
VictoriousNamo,"VARANASI,CHANDIGARH,MEERUT","RT @7ru7h_1: Biden during his recent speech used term Asia-Pacific instead of Indo-Pacific for obvious Pro-China stand. 

Now, Trump has be…",2020-12-22 17:48:11,
VictoriousNamo,"VARANASI,CHANDIGARH,MEERUT",RT @7ru7h_1: 🚨USN 7th Fleet: The guided-missile destroyer USS John S. McCain conducted a freedom of navigation ops in SCS today. A Chinese…,2020-12-22 17:48:08,
SurajRai0889,Mumbai,"RT @CaptDKS: #QUAD gets another solid boost with highest degree of Chief Commander of USA, Legion of Merit, being conferred on Prime Minist…",2020-12-22 17:45:12,
InterAffairs1,,"@Chellaney From Kremlin
Privet! Ni Hao ! #QUAD
🐻 And 🐼 🕺 together 

https://t.co/BopxPBMnWG",2020-12-22 17:37:58,
InterAffairs1,,"@VishnuNDTV From the Kremlin
 Privet! Ni Hao ! #QUAD
🐻 And 🐼 🕺 together.

https://t.co/BopxPBMnWG",2020-12-22 17:28:34,
InterAffairs1,,"@BharatPatriot1 @ShivAroor Privet! Ni Hao ! #QUAD
🐻 And 🐼 🕺 together.

https://t.co/BopxPBMnWG",2020-12-22 17:18:25,
InterAffairs1,,"@ShivAroor Privet! Ni Hao ! #QUAD
🐻 And 🐼 🕺 together @ShivAroor

https://t.co/BopxPBMnWG",2020-12-22 17:17:03,
KumarRamesh0,"Surajpur, CG (INDIA)","#LegionOfMerit 🎖...Congratulations Mr. PrimeMinisters @narendramodi 🇮🇳 @ScottMorrisonMP 🇦🇺
 @sugawitter 🇯🇵

Preside… https://t.co/bgQOKlXw3w",2020-12-22 17:14:21,
InterAffairs1,,@ShivAroor #Russian Aerospace Forces &amp; #PLAAF conducting joint air patrol over Asia Pacific sea. Footage of two Rus… https://t.co/wepH23ufp4,2020-12-22 16:53:50,
krcvam,,"RT @Geeta_Mohan: #MEA on US 'Legion of Merit' for PM Modi:

""Award is in recognition of the PM’s steadfast leadership &amp; vision for India's…",2020-12-22 16:20:52,
AsiaUcd,"Dublin City, Ireland",RT @jppjagannath1: Sneak peek of my forthcoming “The Elusive Quest for an ‘Asian #NATO’” in #StrategicAnalysis @IDSAIndia journal. I write…,2020-12-22 16:20:31,
SasakawaUSA,Washington DC,"In a message to U.S. President-elect Joe Biden, Australian PM Scott Morrison met with former Japanese PM Shinzo Abe… https://t.co/CkJPkmCHLG",2020-12-22 16:01:01,
LunarGears,United Kingdom,Captain of @LunarGears leading by example 🟣🏆 #LunarGears #Gears5 #KOTH #QUAD https://t.co/ni8CjlfhfB,2020-12-22 15:49:35,
atiwary1,Mumbai,"RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:44:14,
ericmiller191,"Washington, DC","RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:43:56,
Lasaa_V,Kαℓυtαrα,"RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:40:58,
kichisama1998,,"RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:40:01,
maheshps369,"Mhow, India","RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:38:51,
ParulChandraP,New  Delhi,"RT @NikkeiAsia: THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coercion"" t…",2020-12-22 15:38:32,
NikkeiAsia,Tokyo,"THE QUAD | JAPAN AND INDIA MEET
The defense ministers of Japan and India affirm their opposition to any use of ""coe… https://t.co/gkrJHZRlCO",2020-12-22 15:37:37,
20061014g,日本 東京,"RT @xj99k63kPVdK96w: @WHNSC @realDonaldTrump @JapanEmbDC Thank you so much, President Trump.◝(⑅•ᴗ•⑅)◜..°♡❤️
Many of us Japanese are support…",2020-12-22 15:11:57,
vikas1689,,"RT @7ru7h_1: Biden during his recent speech used term Asia-Pacific instead of Indo-Pacific for obvious Pro-China stand. 

Now, Trump has be…",2020-12-22 15:07:54,
vikas1689,,RT @7ru7h_1: 🚨USN 7th Fleet: The guided-missile destroyer USS John S. McCain conducted a freedom of navigation ops in SCS today. A Chinese…,2020-12-22 15:07:51,
superatvtweet,"Madison, IN",What are you getting your #ATV or #UTV for #Christmas this year? 🤔 #LetsRide 📸: @northwayspb_atvclub &amp; @lilusy_nw… https://t.co/eqH00qncEW,2020-12-22 14:57:34,
ZEROPLUSMINUS2,,"-The King Hamad Order of the Renaissance by Bahrain (2019),

-Order of St Andrew by Russia (2019),

-Order of the D… https://t.co/rniTmRnMgL",2020-12-22 14:33:13,
Beeradventcal,London,And that's 57 bottles of 10% Belgian quad in bottles and under the bed for a few weeks. #homebrew #belgian #quad,2020-12-22 14:22:46,
sakamath,,"RT @7ru7h_1: Biden during his recent speech used term Asia-Pacific instead of Indo-Pacific for obvious Pro-China stand. 

Now, Trump has be…",2020-12-22 14:17:22,
Iswetranjan,"Daltonganj, India","Heartiest Congratulations to #QUAD Leaders- Hon'ble PM Shri @narendramodi ji, Australian PM Mr. @ScottMorrisonMP &amp;… https://t.co/TDVVsIKQ53",2020-12-22 14:07:58,
ssummy63,,RT @Aryan_warlord: All #Quad leaders get the Legion of Merit. https://t.co/0fQ0gnuiRC,2020-12-22 14:07:24,
hujodaddy1,*I Love Cheap Thrills*,RT @Aryan_warlord: All #Quad leaders get the Legion of Merit.,2020-12-22 13:59:56,
Aryan_warlord,"आधा दिल्ली वाला ,हाफ मुंबईकर ,",All #Quad leaders get the Legion of Merit. https://t.co/0fQ0gnuiRC,2020-12-22 13:58:31,
ShaktiShiv_03,"Surat, Bhubaneswar ","RT @7ru7h_1: Biden during his recent speech used term Asia-Pacific instead of Indo-Pacific for obvious Pro-China stand. 

Now, Trump has be…",2020-12-22 13:41:37,
theNilesh_,बनारस - भारतवर्ष ,"@narendramodi @POTUS @realDonaldTrump #Quad must be strengthened even after #DonaldTrump ,",2020-12-22 13:40:50,
ONEMALI,Here and there,#Quad will stay relevant irrespective of who wins elections in all 4 of them. It's no run-of-the-mill SCO. As an in… https://t.co/Hh57tfqRyn,2020-12-22 13:32:22,
kpnagar49,Faridabad ,"India getting legion of merit award by USA while porkistan is getting as always katora 😂😂
#QUAD 
#DonaldTrump",2020-12-22 13:23:27,
56perumal, tamilnadu,"RT @tfiglobal: If the #QUAD decides to go against China, #Japan will be ready to pound it with its new long-range missiles

The Suga govern…",2020-12-22 12:16:08,
56perumal, tamilnadu,"RT @tfiglobal: #Russia officially asks #India to mediate between it and #QUAD nations

Russia has expressed to India that it is ready to pl…",2020-12-22 12:15:51,
R8WingHawk,,"@Chellaney @TibetPeople #Quad is coming closer day by day and officially too.

Rather than #Palau, Taiwan or Vietna… https://t.co/5R1qczHnWH",2020-12-22 12:01:21,
247robby,Apeldoorn (GLD) Holland,"[179] #Zaanstad Here is your #QUAD-Band #Antenna, #suitable for your #TYT9800 (#CB/#HAM) #radio. (#TYTCB)… https://t.co/tQ0wzIk4JN",2020-12-22 11:38:43,
xj99k63kPVdK96w,金沢 Kanazawa,"@WHNSC @realDonaldTrump @JapanEmbDC Thank you so much, President Trump.◝(⑅•ᴗ•⑅)◜..°♡❤️
Many of us Japanese are supp… https://t.co/760nNuGDZh",2020-12-22 11:35:58,
sardarshivender,India,"RT @CaptDKS: #QUAD gets another solid boost with highest degree of Chief Commander of USA, Legion of Merit, being conferred on Prime Minist…",2020-12-22 11:25:31,
Ankitkumar7915,"Sikkim, India",RT @neeraj_rajput: India &amp; #Japan reaffirmed to counter #disinformation in the context of #COVID19 during telephonic conversation of Defenc…,2020-12-22 11:05:59,
guardingindia,India,"#Russia says it understands India but has doubts about #QUAD 

https://t.co/bUyF12Xgaf",2020-12-22 10:44:12,
iumanggarg,"नई दिल्ली, भारत","@USAmbIndia @narendramodi #Quad need to share all defence level equipments to each other, to counter culprits. Othe… https://t.co/2ybvkhJwwi",2020-12-22 10:41:34,
