user,location,tweet,Date,Tweet Coordinates
RobotConsumer,,"RT @r_frojd: K3lso is trying MIT cheetah mpc controller ROS + Pybullet
https://t.co/OT6Jkl89pY

#k3lso #quad #quadruped #robotics #pybullet…",2020-11-23 00:01:06,
r_frojd,Sverige,"K3lso is trying MIT cheetah mpc controller ROS + Pybullet
https://t.co/OT6Jkl89pY

#k3lso #quad #quadruped… https://t.co/DseUzSbB6E",2020-11-22 23:31:19,
MighmaRT,,RT @PeebsTag: 6pm... WARZONE QUADS TOURNEY!!! With @zaptosemedia and the daselsavon clan! Come along and support!! Check out what happened…,2020-11-22 23:01:50,
ga_richardson,Vancouver & Takla Landing,RT @ga_richardson: #China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM @jacindaardern…,2020-11-22 22:45:57,
marilara164,,RT @ga_richardson: #China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM @jacindaardern…,2020-11-22 20:35:53,
ga_richardson,Vancouver & Takla Landing,RT @ga_richardson: #Japan &amp; #Australia to ink joint-drill pact #IndoPacific #Quad #CANZUKdefence https://t.co/Y15mjKyP9q,2020-11-22 20:33:08,
ga_richardson,Vancouver & Takla Landing,RT @Mark45dominic: #Japan #SUGA #Freeindopacific #india #Australia   #IndoPacific #Quad #ASEAN #Japan #CANZUKdefence #FVEY  #Japan #SUGA #F…,2020-11-22 20:32:53,
ga_richardson,Vancouver & Takla Landing,"RT @Mark45dominic: Cambodia, #China  and the Dara Sakor Problem
China gaining access to an airfield in Cambodia,,   #Japan #SUGA #Freeindop…",2020-11-22 20:32:30,
ga_richardson,Vancouver & Takla Landing,#China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM… https://t.co/HFiVd0tVxS,2020-11-22 20:28:11,
ga_richardson,Vancouver & Takla Landing,#China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY. How NZ PM ⁦… https://t.co/rBHLSKVEpO,2020-11-22 19:04:13,
RobotConsumer,,RT @r_frojd: Have been busy today with remaking a new #urdf for #k3lso. Trying to get the as close to reality as possible. Not sure about t…,2020-11-22 18:00:58,
r_frojd,Sverige,Have been busy today with remaking a new #urdf for #k3lso. Trying to get the as close to reality as possible. Not s… https://t.co/fI88HpI0wc,2020-11-22 17:52:10,
microsoftsql,Global,"RT @r_frojd: #K3lso is learning to standup with Rex-gym🤓 

#ai #quadruped #mjbots #quad #pybullet #rexgym #OpenAI #robotics #ros #urdf @NVI…",2020-11-22 17:33:57,
DIBYASINGHABAD1, India,@globaltimesnews #China start blame game against @Australia . But it shouldn't forget Australia is member of powerf… https://t.co/ZnwMALt0Jf,2020-11-22 17:09:36,
pramodsedhain,The Globe,"RT @Journal_INDOPAC: #China stops charade on #trade dispute with #Australia,
@theage #Quad #IndoPacific
https://t.co/JoCgI6WDrc",2020-11-22 16:30:43,
tapash561,,"RT @navalgroup_IN: INS #Khanderi (second P75  #Scorpene® submarine) performs tactical exercises for 🇮🇳, during phase-II of #Malabar2020 wit…",2020-11-22 16:05:10,
oldandgold101,,Should there be a military alliance between members of QUAD a.k.a an Asian version of NATO to deter China? #Quad… https://t.co/UlvYdXngw7,2020-11-22 15:51:50,
Mark3Ds,"Ottawa, Ontario",@mfisheroverseas @indiannavy @vgmenon99 @theUdayB @FranticGoat @Australian_Navy @MARPAC_FMARP @IndoPac_Info… https://t.co/NDBIiXIju4,2020-11-22 15:48:30,
AntsInPantsTour,"Björklund, Arjeplog ","Fun on the ice looks like this 😍🇸🇪❄️👌

#winter #winterurlaub #WinterIsComing #lake #icefun #IceInOurVeins #water… https://t.co/aZLe6t8N6n",2020-11-22 15:46:59,
RahulBhonsle,New Delhi,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 15:41:06,
zaptosemedia,,RT @PeebsTag: 6pm... WARZONE QUADS TOURNEY!!! With @zaptosemedia and the daselsavon clan! Come along and support!! Check out what happened…,2020-11-22 14:40:25,
MehdiMM,"New York, USA",The only path to success a constructive one! #CNBC #APF #Quad #DowJones #markets https://t.co/Tdkwo4c4Vk,2020-11-22 14:01:40,
AbhinavSharmaO7,🇮🇳,"RT @AbhishekMatiman: #thursdayvibes #thursdaymorning
@indiannavy @USNavy @rajeev_mp @proshillong
@InsightGL

#Malabar2020 Phase-2 Underway…",2020-11-22 13:58:12,
ChaiSuttaaaa,Bermuda Triangle,"This is #QUAD patrolling arabian sea, its only going to get bigger from here. https://t.co/3m2uEH4q3H",2020-11-22 13:49:12,
Kainsmith1234,"Hull, England",RT @PeebsTag: 6pm... WARZONE QUADS TOURNEY!!! With @zaptosemedia and the daselsavon clan! Come along and support!! Check out what happened…,2020-11-22 13:37:04,
