user,location,tweet,Date,Tweet Coordinates
hobbs_hc,Hong Kong,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 16:47:11,
9b3OR2qdITMbDcd,日本 ,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 16:46:03,
StevenStashwick,"Manhattan, NY","RT @HoansSolo: The British navy will dispatch an aircraft carrier strike group to waters near Japan as soon as early next year, Japanese go…",2020-12-06 16:45:01,
asycentre,"Jakarta, Indonesia",Thank you H.E. Ambassador @ChambardOlivier &amp; Vice Minister of Trade Jerry Sambuaga as a keynote speaker on Indo-Pac… https://t.co/EnZ98RG8zx,2020-12-06 16:44:36,
KITTYBAYOUTSFAN,United States,"RT @starsandstripes: Seventh Fleet is the Navy’s largest deployed fleet with 50-70 ships and submarines, 150 aircraft and approximately 20,…",2020-12-06 16:43:00,
peterrough,"Washington, DC","RT @HoansSolo: The British navy will dispatch an aircraft carrier strike group to waters near Japan as soon as early next year, Japanese go…",2020-12-06 16:42:33,
MD_Nalapat,India,"As for the Indo-Pacific, this has replaced the Atlantic as the centre of gravity, and it is unlikely that the Biden… https://t.co/PTl3KRWOQA",2020-12-06 16:42:00,
DrRowanAllport,"London, UK","RT @HoansSolo: The British navy will dispatch an aircraft carrier strike group to waters near Japan as soon as early next year, Japanese go…",2020-12-06 16:41:47,
HoansSolo,"New York, NY","The British navy will dispatch an aircraft carrier strike group to waters near Japan as soon as early next year, Ja… https://t.co/DTXL7nyn8Y",2020-12-06 16:39:56,
bloomchovies,"Kalamazoo, MI","@PREAUX_FISH Field work in Belize, Ecuador and Indo-Pacific. Tropical ecology class in Belize. Trip to Australia and New Zealand.",2020-12-06 16:39:13,
abhinav29644937,,RT @BonnieGlaser: UK to send aircraft carrier strike group to waters near Japan - Nikkei Asia https://t.co/R0GRvBYB0Q,2020-12-06 16:36:04,
iabbv,Thornleigh Sydney ,RT @DipenRughani: Australian FM @MarisePayne speech on a united Indo-Pacific and the realities the region faces. @DrSJaishankar @MEAIndia @…,2020-12-06 16:34:14,
refluffednest,Missouri-On the other side of the bridge...,"@kjgillenwater Yes, but I pulled up a map of the Indo-Pacific and it falls with in it.",2020-12-06 16:31:19,
HistoryStrategy,,#UK to send #aircraft #carrier #strike #group to waters near #Japan - Nikkei Asia https://t.co/PK5fq6Jl07,2020-12-06 16:28:18,
Tom687637181,,"RT @USArmy: #DYK six of the world's largest armies are in the Indo-Pacific region?

Every year since 1977, land forces leaders come togethe…",2020-12-06 16:20:42,
MansourAlrooqi,الرياض,RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 16:19:14,
JesseWorrell4,,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 16:13:04,
daaitvs,Taiwan,RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 16:12:23,
CivMilAir,Worldwide 🌏,RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 16:02:28,
orfonline,India,"The overarching reason for why hydrocarbons will remain indispensable, is the interlocking hydrocarbon-based techno… https://t.co/vrZXNHWLvy",2020-12-06 16:01:00,
Ramsky_R,,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 16:00:31,
KartikBommakan1,,"RT @NikkeiAsia: INDO-PACIFIC | THE BRITISH ARE COMING
U.K.'s Royal Navy is said to be planning a rare excursion to the Western Pacific in e…",2020-12-06 15:51:56,
RTerriers2,Flyover Country ,"RT @USArmy: #DYK six of the world's largest armies are in the Indo-Pacific region?

Every year since 1977, land forces leaders come togethe…",2020-12-06 15:51:14,
RocketMan6510,,RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 15:50:22,
DaTaaZee,"Amsterdam, The Netherlands","RT @NikkeiAsia: INDO-PACIFIC | THE BRITISH ARE COMING
U.K.'s Royal Navy is said to be planning a rare excursion to the Western Pacific in e…",2020-12-06 15:46:34,
bdc_1234,Somewhere,"@DanielA84612544 @DefenceSenseUK @graham_euan They’re in the southern Indo-Pacific, not the western pacific. France… https://t.co/qKXBv1tAjZ",2020-12-06 15:43:21,
KingPraveena,Bengaluru bharathavarsha,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 15:40:08,
sthuuall,whereever,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 15:36:05,
AFGlobalStrike,"Barksdale AFB, LA",RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 15:33:27,
