user,location,tweet,Date,Tweet Coordinates
cartinofdelites,,"@ConnellyAL @dvanderkley @FinancialReview ""People in DC"" not increasingly seeing Asia through a Quad paradigm, and… https://t.co/e1DXjPqktH",2020-12-06 10:31:56,
gautamgupta5722,"New Delhi, India","Redmi Note 9 Pro 5G with Snapdragon 750G, 108MP quad camera announced https://t.co/YceVpA1pIa.",2020-12-06 10:30:31,
Indian19100,🌐Ghar pe,"RT @stufflistings: OPPO Reno5 5G visits China Telecom ahead of launch.
64MP quad rear camera, 65W fast charging, Android 11.
12GB/256GB - Y…",2020-12-06 10:30:28,
trilemma85,,"@quad_9s It's standard fare for network TV clips uploaded onto their own youtube channels, unfortunately.",2020-12-06 10:30:18,
gautamgupta5722,"New Delhi, India","Redmi Note 9 5G with 6.53-inch FHD+ display,48MP quad camera announced https://t.co/s0LOGm9b3z.",2020-12-06 10:30:14,
gautamgupta5722,"New Delhi, India","Redmi Note 9 4G with 6.53-inch FHD+ display,48MP quad camera announced https://t.co/duhcZv0aW2.",2020-12-06 10:29:56,
AhnuieeOne,,@CestLaVie97 Girl for all I understand its some exclusive invite only platform that creators/business people use. I… https://t.co/LTl9FxpYfG,2020-12-06 10:25:11,
JAYTEEAU,Melbourne,"@ChrisMayhew87 You mean why do I have enough Mac minis to print a 2nd and then a 3rd Quad Mac mini stand?

Software… https://t.co/YZgayFbSx7",2020-12-06 10:24:29,
Oxford_Bells,"Oxford, England","We're back! Handbells in Tom Quad, @ChCh_Oxford for half an hour before this morning's 11am Eucharist in… https://t.co/OsHeTYN9Lj",2020-12-06 10:23:00,
oGJIMMY5,,@Elias79597722 @DuskSimp @MyNameFernando @DavidVonderhaar There might not be much flinch but has to be shoulders or… https://t.co/GXjChNzciO,2020-12-06 10:21:50,
tylere1990,,@ConorWalsh63 @PComerford17 @Punters Incredible scenes. One of them left the winner out of the quad for sure.,2020-12-06 10:19:45,
Kumar_Sanjiv1,"Bihar, India","RT @realmemobiles: The #realme7Pro is full of style and features!

Boasting of a Sony 64MP Quad Camera and India's Fastest Charging, it is…",2020-12-06 10:18:15,
Keval14Desai,India,"Regarding rear camera setup

2016- Single cam
2017- dual cam
2018-19- thriple cam
2019-20- Quad cam

Aap 2025 takh… https://t.co/nMgxndY78o",2020-12-06 10:18:05,
RadheyS46868105,,"RT @HeartAtul: All BB13 viewers will watch BBB3 💯🤣🤣🕺🕺

#SidHearts, SidNaazians, Shehnaazians, Asim Quad, Rashmians, Salmaniacs .. each and…",2020-12-06 10:17:56,
GerryPaul2020,"Orlando, FL","RT @PaulRud24303778: Jesus said, ""You grow 24 days every day, 1 quadrillion years every hour for a total of 24 quad every day, Your photons…",2020-12-06 10:17:48,
quad_9s,,"@trilemma85 Awww ok, thanks for letting me know",2020-12-06 10:17:33,
QUAD_JONAS," ""we will prosper mightily""","@StevePeers Duh, the devaluation of the pound since the referendum did have the biggest impact on prices. Everyone… https://t.co/Jv9LDcCdhr",2020-12-06 10:17:10,
BetterWinnings,,"#BetOfTheDay Quad for Sunday ⚽️

Coming from 🏴󠁧󠁢󠁥󠁮󠁧󠁿 &amp; 🇮🇹 today 👍🏻

3pts ➡️ 7.9pts https://t.co/GpV3reDF6Q",2020-12-06 10:14:52,
DougShulman,"Cambridge, UK","Mark Bonner also confirmed to me that Joe Ironside was missing yesterday as a result of a tight quad muscle so, was… https://t.co/zM1Ia4PuwT",2020-12-06 10:12:56,
Mik_Duffy,Belfast,"@robinalexbaker @BFI Awful movie but the poster is really interesting. The artwork is painted, a thing I really wis… https://t.co/vUL7qp7Afe",2020-12-06 10:12:54,
MyKillySoul,California/KellysMomFollowsMe,RT @IJM_Frizzie: @DiagnosisDT Worst: the attempt to make Michael a leading man &amp; that quad; the pacing; the overuse of the mob characters;…,2020-12-06 10:11:39,
QUAD_JONAS," ""we will prosper mightily""","@JohnRentoul @ShippersUnbound This is desperate stuff. ""Bad EU not allowing us our higher standards"" said those who… https://t.co/n7eYiiqcn5",2020-12-06 10:11:15,
QuadRebuild18,"Halifax, England",We have been donated a voucher for cakes and cupcakes around £50 from @jadeflude with everything from jammy dodgers… https://t.co/0PT6qwt4Ma,2020-12-06 10:10:55,
