user,location,tweet,Date,Tweet Coordinates
REHAAN1111,Georgia,India needs to form a similar alliance like #QUAD with Russia .,2020-12-06 16:18:05,
LowSulfurBunker,,"RT @nmfindia: DG NMF, VAdm Pradeep Chauhan in a panel discussion on '#AtmaNirbharBharat : Milestones achieved by the Indian Navy' on @DDInd…",2020-12-06 15:18:25,
nmfindia,"New Delhi, India","DG NMF, VAdm Pradeep Chauhan in a panel discussion on '#AtmaNirbharBharat : Milestones achieved by the Indian Navy'… https://t.co/0zcB32QhrX",2020-12-06 14:50:22,
SQuaR3PaNTS_,"Winnipeg, Manitoba, Canada","When the players line up! 😏

#furykill #quad #cod #coldwar #bocw #blackopscoldwar https://t.co/tAckWHPDrI",2020-12-06 14:46:52,
satishtezaa,"New Delhi, India","RT @samirsaran: From Buyer to Builder: The Indian Navy’s Rocky Road to Self-Reliance

⁦@abhijit227⁩ and Dr Manoj Joshi write for ⁦@orfonlin…",2020-12-06 13:46:35,
satishtezaa,"New Delhi, India",RT @samirsaran: Don’t miss this interaction of @mfullilove and @navdeepsuri with @NaghmaSahar on the #ModiMorrisonSummit #Quad #US #IndoPac…,2020-12-06 13:30:50,
benwimbushSCORD,"Manchester, England",@JonathanPieNews @JonathanPieNews thanks for the raising awareness of #wheelchairservices a subject very close to m… https://t.co/h0mJqfgBtd,2020-12-06 13:24:58,
education_24x7,,"RT @TranquilityWins: Quad Memories 
5th December 2019, 2 hours about entire 2020 discussions and decisions that made the Official Quad-Pop…",2020-12-06 13:15:53,
IguanaSaharaTo2,"Marrakech Médina, Royaume du M","Morocco Private Tours
#SharedTrip  #DésertTours
#Marrakech4x4 #Quad #buggy #CamelTrek
#Japan #chaine #Spain #France… https://t.co/YWUdyApHrf",2020-12-06 12:36:52,
SafariMorocco,Marrakech Morocco,"Morocco Private Tours
#SharedTrip  #DésertTours
#Marrakech4x4 #Quad #buggy #CamelTrek
#Japan #chaine #Spain #France… https://t.co/0776ZviLfj",2020-12-06 12:15:48,
MKSishere,"Mumbai, India","This #INDvsAUS has been nothing like heated ones in the past. Extreme friendly sportsmanship from both sides.
The… https://t.co/ShhEOaNZeq",2020-12-06 11:32:41,
QuadRebuild18,"Halifax, England",We have been donated a voucher for cakes and cupcakes around £50 from @jadeflude with everything from jammy dodgers… https://t.co/0PT6qwt4Ma,2020-12-06 10:10:55,
BuildersEnglish,halifax,If any of my clients are followers are interested in playing a game of virtual bingo this will help raise money fou… https://t.co/uB9DOcUQh8,2020-12-06 10:08:55,
AndrewDL12,Australia,@AusHCIndia @scg @cricketcomau @CricketAus @AusCG_Mumbai @AusCGKolkata @AusCGChennai @AusDHCIndia Easy Two of the… https://t.co/rZQGJRW2Us,2020-12-06 08:01:25,
gurpreetbulbul,,"RT @SaloniSalil: I write for #FutureDirectionsInternational on the recently concluded #QUAD meeting and #malabar2020.

https://t.co/alhKumb…",2020-12-06 07:36:53,
ankitk__,"Kathmandu,Bagmati Pradesh,NPL","RT @archivedPra_: Janab EAM! Please boycott  United Nations now before it's too late. When you have #quad, who cares about UNSC seat?😉 #Mod…",2020-12-06 07:30:46,
archivedPra_,,"Janab EAM! Please boycott  United Nations now before it's too late. When you have #quad, who cares about UNSC seat?… https://t.co/Qr0EK9lNjO",2020-12-06 04:43:39,
