user,location,tweet,Date,Tweet Coordinates
SurajRai0889,Mumbai,"RT @WIONews: #Gravitas | Navies of India, Australia, Japan and the US are participating in the Malabar Exercise. China's state mouthpiece @…",2020-11-22 12:09:42,
SurajRai0889,Mumbai,"RT @sneheshphilip: The beauty one sees when #Quad countries -  India, US, Australia and Japan - come together in the North Arabian Sea/West…",2020-11-22 12:03:28,
RaiAtulRai,New Delhi,"It appears to be part of process (rightly so) to complete and further strengthen 'Indo-Pacific' Region, where… https://t.co/FXbt1Ngq88",2020-11-22 11:26:05,
Dsrao72240552,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 11:24:01,
PeebsTag,,6pm... WARZONE QUADS TOURNEY!!! With @zaptosemedia and the daselsavon clan! Come along and support!! Check out what… https://t.co/Gwu0M0HbcX,2020-11-22 11:03:03,
abgupta1508,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 11:02:06,
syedmohdmurtaza,"New Delhi, India","RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 09:24:49,
A31X64Vijay,INDIA. (Bharat),RT @sreeramchaulia: The progress of the #Quad is a milestone in India's proactive #diplomacy under @narendramodi. Here is my essay in 'The…,2020-11-22 08:08:02,
EsportsTweeter,United States,"RT @Oracle1Official: Oracle Skull makes the MP5 look cracked! -
#COD #callofdutycoldwar #mp5 #SND #streaks #feed #killfeed #cod #esports #g…",2020-11-22 07:34:52,
Oracle1Official,Classified.,"Oracle Skull makes the MP5 look cracked! -
#COD #callofdutycoldwar #mp5 #SND #streaks #feed #killfeed #cod #esports… https://t.co/djl9Jll91X",2020-11-22 07:32:07,
uyfgn,,"#QUAD 🇺🇸🇭🇲🇯🇵🇮🇳 #Malabar2020 
Indian aircraft carrier
(INS VIKRAMADITYA)
USA aircraft carrier 
(USS NIMITZ) https://t.co/IAtVHlisbj",2020-11-22 07:20:24,
R8WingHawk,,@imjosh007 @TibetPeople @WhiteHouse @MFA_China @XHNews @Chinamission2un @China_Amb_India @AlJazeera_World… https://t.co/dpxqxcGEz8,2020-11-22 07:01:38,
macresslernews,"Palmdale, CA","RT @livefist: JUST IN: First photos just in from Phase 2 of #Malabar2020, with the USS Nimitz &amp; INS Vikramaditya carrier battle groups &amp; sh…",2020-11-22 04:47:41,
rjayal,,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:45:36,
BasuPushon,Kolkata,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:40:39,
Sakht_Hindu,Ayodhya ,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:37:36,
DrIanHall,Brisbane,"RT @rajatpTOI: So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. Indian wars…",2020-11-22 04:35:15,
rajatpTOI,"New Delhi, India","So, after #Quad exercise #Malabar, Indian Navy conducts trilateral exercise #SITMEX with Singapore and Thailand. In… https://t.co/LLvWFmzrfY",2020-11-22 04:32:17,
KrellerClyde,,"RT @livefist: JUST IN: First photos just in from Phase 2 of #Malabar2020, with the USS Nimitz &amp; INS Vikramaditya carrier battle groups &amp; sh…",2020-11-22 02:30:43,
dalatony,"Cairo, Egypt","RT @r_frojd: Some minor progress with #rexgym and open loop walk. Still trying to get ik up and running! 🙌 

#k3lso #ai #quad #quadruped #l…",2020-11-21 18:17:16,
dalatony,"Cairo, Egypt","RT @r_frojd: #K3lso is learning to standup with Rex-gym🤓 

#ai #quadruped #mjbots #quad #pybullet #rexgym #OpenAI #robotics #ros #urdf @NVI…",2020-11-21 18:17:06,
A31X64Vijay,INDIA. (Bharat),"RT @kumarpvr: #ENDCCP
#QUAD

Interesting discussion between @arunp2810 &amp; Capt Jim Fanell on #Malabar2020 &amp; progress to be made from just a…",2020-11-21 16:23:48,
kerry_kelly1,"Ballinascreen, Co.Derry",Got to love the #farm life. #wellies #cows #quad #mountains #family https://t.co/ARw97O8cUq,2020-11-21 16:12:43,
Jerrymi35037253,Hong Kong,"RT @Rand96404590: Malabar exercise of ‘#Quad’ concludes with clear message for #China 

#US #India #Japan #Australia
#BoycottChina #Boycott…",2020-11-21 15:32:06,
pepethep,,"RT @Rand96404590: Malabar exercise of ‘#Quad’ concludes with clear message for #China 

#US #India #Japan #Australia
#BoycottChina #Boycott…",2020-11-21 15:31:47,
MkMukeshmook,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 15:31:26,
samarjeet_n,,"RT @StratNewsGlobal: On #TalkingPoint Today Live 2:30 PM CET//7 PM IST 

➡️Admiral @arunp2810 Former Chief of @indiannavy Staff

➡️Capt Jam…",2020-11-21 15:28:02,
abjj_1,,"RT @abjj_1: Drop a LIKE if you enjoyed! SUB if you’re new!
https://t.co/kMgnNScsHG

#WarZone #cod #warzone #sniper #gaming #callofdutyclips…",2020-11-21 15:24:04,
PuravaPakash,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 15:19:43,
MBMBlr,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 15:11:55,
Mark3Ds,"Ottawa, Ontario",@mfisheroverseas @indiannavy @vgmenon99 @theUdayB @FranticGoat @Australian_Navy @MARPAC_FMARP @IndoPac_Info… https://t.co/5sY7VTmYBb,2020-11-21 14:50:14,
ChinaMustFall,Worldwide- for all of humanity,"RT @Rand96404590: Malabar exercise of ‘#Quad’ concludes with clear message for #China 

#US #India #Japan #Australia
#BoycottChina #Boycott…",2020-11-21 14:40:35,
Vishal7612,,God bless the Quad! Go hit them hard if need be! CPC understands only the language of strength. Pray the quad bring… https://t.co/3sr4LPcuki,2020-11-21 14:29:29,
Rand96404590,,"Malabar exercise of ‘#Quad’ concludes with clear message for #China 

#US #India #Japan #Australia
#BoycottChina… https://t.co/cUrDzAORUp",2020-11-21 14:21:55,
MichaelWebMason,UK,"We have boat trips to go whale &amp; dolphin watching from just 19.99€

https://t.co/bd5yXDNWHb

#Tenerife #Excursions… https://t.co/mxpiZLlORR",2020-11-21 14:16:31,
aakashmohanta,new delhi,"RT @kumarpvr: #ENDCCP
#QUAD

Interesting discussion between @arunp2810 &amp; Capt Jim Fanell on #Malabar2020 &amp; progress to be made from just a…",2020-11-21 13:31:45,
Girirajkay,,"RT @kumarpvr: #ENDCCP
#QUAD

Interesting discussion between @arunp2810 &amp; Capt Jim Fanell on #Malabar2020 &amp; progress to be made from just a…",2020-11-21 13:17:10,
blindbhakht,"Mathura, India","RT @kumarpvr: #ENDCCP
#QUAD

Interesting discussion between @arunp2810 &amp; Capt Jim Fanell on #Malabar2020 &amp; progress to be made from just a…",2020-11-21 13:04:21,
kumarpvr,भारत,"#ENDCCP
#QUAD

Interesting discussion between @arunp2810 &amp; Capt Jim Fanell on #Malabar2020 &amp; progress to be made fr… https://t.co/mydLFL3USq",2020-11-21 13:01:21,
ajaxgaming3,"Kent, England, United Kingdom",Check out Quads n dat https://t.co/cxUELgyogg #RogueCompany #TwitchAffilate #twitch #twitchstream #quad,2020-11-21 12:45:09,
KashmiriHindu07,India,@ANI Good to see the defence workshop within #Quad in #Malabar at its peak! It will definitely strengthen and norma… https://t.co/eGGorztpzQ,2020-11-21 12:04:01,
imjosh007,Aaryavart ,@R8WingHawk @TibetPeople @WhiteHouse @MFA_China @XHNews @Chinamission2un @China_Amb_India @AlJazeera_World… https://t.co/IPJg2qKFPX,2020-11-21 11:59:47,
Fsvlh,,"RT @abjj_1: Drop a LIKE if you enjoyed! SUB if you’re new!
https://t.co/kMgnNScsHG

#WarZone #cod #warzone #sniper #gaming #callofdutyclips…",2020-11-21 10:12:27,
JaskiratSB,India,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 08:17:26,
malapati,India,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 08:13:04,
LalithKris,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 08:00:19,
saikirankannan,🇸🇬 × 🇮🇳 + 🇮🇩,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 07:57:28,
CaliXBL,Mars,Just unlocked my Second Gold Sniper ;) #ColdWar #Gold #Quad #FaZeUp https://t.co/p8HmxBvgco,2020-11-21 07:30:15,
Against_Pseudos,Everwhere ,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 06:54:44,
TRSaranathan,"ÜT: 0.0,0.0",RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 06:54:25,
Arun_GoI,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 06:52:57,
gopusp,,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 06:50:10,
Aishwary_Nagar, India,RT @saikirankannan: How the current diplomatic and political climate coupled with China's hard to get strategy is pushing #Pakistan deeper…,2020-11-21 06:48:03,
DrKapilksharma1,"Jammu, Jammu And Kashmir",#Pakistan Why China wants #CPEC in general &amp; #Gawadar in particular. India has total control  over  Indian Ocean re… https://t.co/UQzUhi5Jz9,2020-11-21 06:31:16,
