user,location,tweet,Date,Tweet Coordinates
b0ur60n,PDX__,When you have most wanted and think your getting away but i have #Bertha and your on a #quad didnt know i could ram… https://t.co/kK4gfsUWpG,2020-12-13 12:26:28,
CPR_India,New Delhi,"India’s naval exercises in #ArabianSea with US &amp; partners in the #Quad, have displayed a readiness to work with tho… https://t.co/lIzKkcwHjL",2020-12-13 11:30:00,
satishtezaa,"New Delhi, India","RT @samirsaran: Let’s give the #BidenHarris2020 team benefit of time ... they may warm up to #IndoPacific and #Quad soon. 

Unfortunately #…",2020-12-13 04:42:09,
jonesyUK,"Cincinnati, OH","#delicious #quad #belgianquad #belgianquadrupel @boulevard_beer @ Finneytown, Ohio https://t.co/AHIDjLapqe",2020-12-13 03:07:23,"{'type': 'Point', 'coordinates': [-84.5215, 39.2171]}"
majesty_palm,,@BrianAngelle @mtgreenee She's the #Quad.,2020-12-13 02:33:03,
markmohit,"Melbourne, Victoria",Why nobody talking the #AUS joining of #QUAD group exercise leading incerments of #import duty. Why #media  is not… https://t.co/GC3G2rolKI,2020-12-13 00:17:30,
blankname1337,127.0.0.1,"RT @r_frojd: Tonight I started a bit with the design of the rear cover. What do you think of something like this?

#k3lso #quad #quadruped…",2020-12-12 21:04:14,
RobotConsumer,,"RT @r_frojd: Tonight I started a bit with the design of the rear cover. What do you think of something like this?

#k3lso #quad #quadruped…",2020-12-12 21:00:39,
r_frojd,Sverige,"Tonight I started a bit with the design of the rear cover. What do you think of something like this?

#k3lso #quad… https://t.co/eXUAiC47kV",2020-12-12 20:48:12,
vikash_kumar26,"New Delhi, India","@globaltimesnews Looser, Do u remember ur FM said same thing about #Quad ,later he has to bite his own word.😂😂😂",2020-12-12 13:42:55,
india_narrative,Delhi,#China is carrying out joint air force exercises with #Pakistan in Sindh as part of the sabre-rattling in response… https://t.co/gUM30UJnRC,2020-12-12 13:41:29,
ArronLukeGriff,"Waterloo, Ontario","RT @r_frojd: A few 🍻 and more design on the covers. Starting to look quite alright! What do you think? 

#k3lso #quad #quadruped #robotics…",2020-12-12 13:21:56,
r_frojd,Sverige,Ground truth torque testing for #tmotor AK10-9 and #mjbots #moteus I didn’t dare pushing it further today when ever… https://t.co/ardDrwTr11,2020-12-12 12:42:43,
satishtezaa,"New Delhi, India","RT @abhijit227: When all is said and done, more is 'said' than 'done'. #QUAD",2020-12-12 12:26:10,
FBiavati,Eugene - Oregon,"RT @r_frojd: A few 🍻 and more design on the covers. Starting to look quite alright! What do you think? 

#k3lso #quad #quadruped #robotics…",2020-12-12 09:01:37,
FBiavati,Eugene - Oregon,"RT @r_frojd: Some rough sketches of the new top cover and head. 

#k3lso #quad #quadruped #robotics #fusion360 #intel #realsense https://t.…",2020-12-12 09:01:17,
StratosRobotics,"Blue Earth, MN","RT @r_frojd: A few 🍻 and more design on the covers. Starting to look quite alright! What do you think? 

#k3lso #quad #quadruped #robotics…",2020-12-12 07:35:53,
The_Diplomatist,Greater Noida,#australia decided to be a part of #QUAD which had earlier failed to take off due to the fact that China has always… https://t.co/GoMqhvpXPu,2020-12-12 06:39:10,
mil_pak,,@PravinSawhney This is the Russian response to #MALABAR2020. India switching sides and relying on the #QUAD or #QSD… https://t.co/6FsnqrbV9D,2020-12-12 01:07:34,
RobotConsumer,,"RT @r_frojd: A few 🍻 and more design on the covers. Starting to look quite alright! What do you think? 

#k3lso #quad #quadruped #robotics…",2020-12-12 01:00:19,
